player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Yamamoto, Yoshinobu",L,0-0,FF zone 13 (11.49%),FF zone 11 (8.78%),FS zone 13 (8.11%),CU zone 14 (7.43%),FF zone 4 (7.43%)
"Yamamoto, Yoshinobu",L,0-1,FS zone 13 (31.17%),FF zone 4 (5.19%),FF zone 11 (5.19%),FS zone 7 (5.19%),FF zone 13 (5.19%)
"Yamamoto, Yoshinobu",L,0-2,FS zone 13 (35.9%),FS zone 14 (10.26%),FS zone 11 (7.69%),FS zone 8 (7.69%),FF zone 11 (5.13%)
"Yamamoto, Yoshinobu",L,1-0,FF zone 7 (12.5%),FS zone 13 (10.71%),CU zone 7 (7.14%),CU zone 13 (7.14%),FF zone 5 (5.36%)
"Yamamoto, Yoshinobu",L,1-1,FS zone 13 (16.67%),FS zone 14 (9.09%),FF zone 11 (9.09%),FF zone 13 (7.58%),FS zone 7 (6.06%)
"Yamamoto, Yoshinobu",L,1-2,FS zone 13 (25.93%),FF zone 11 (11.11%),FS zone 14 (9.26%),FS zone 7 (9.26%),FS zone 11 (7.41%)
"Yamamoto, Yoshinobu",L,2-0,FF zone 4 (16.67%),FF zone 11 (16.67%),FF zone 13 (11.11%),CU zone 1 (5.56%),CU zone 4 (5.56%)
"Yamamoto, Yoshinobu",L,2-1,FC zone 14 (17.07%),FF zone 13 (9.76%),FF zone 4 (9.76%),FF zone 7 (9.76%),CU zone 9 (7.32%)
"Yamamoto, Yoshinobu",L,2-2,FS zone 13 (25.93%),FS zone 7 (14.81%),FF zone 2 (5.56%),FS zone 11 (5.56%),FF zone 13 (5.56%)
"Yamamoto, Yoshinobu",L,3-0,FF zone 4 (33.33%),FF zone 1 (16.67%),FF zone 7 (16.67%),FF zone 8 (16.67%),FF zone 11 (16.67%)
"Yamamoto, Yoshinobu",L,3-1,FF zone 7 (25.0%),FC zone 9 (12.5%),FF zone 8 (12.5%),CU zone 7 (6.25%),CU zone 11 (6.25%)
"Yamamoto, Yoshinobu",L,3-2,CU zone 14 (15.79%),FF zone 8 (10.53%),FS zone 13 (7.89%),FF zone 7 (7.89%),CU zone 8 (5.26%)
"Yamamoto, Yoshinobu",R,0-0,FF zone 14 (18.4%),FC zone 14 (9.6%),FF zone 6 (8.8%),FF zone 9 (7.2%),CU zone 8 (5.6%)
"Yamamoto, Yoshinobu",R,0-1,FS zone 13 (14.29%),FS zone 14 (10.71%),SI zone 13 (8.93%),SI zone 7 (8.93%),CU zone 8 (5.36%)
"Yamamoto, Yoshinobu",R,0-2,FS zone 13 (23.53%),FS zone 14 (17.65%),FF zone 11 (14.71%),CU zone 14 (5.88%),FF zone 12 (5.88%)
"Yamamoto, Yoshinobu",R,1-0,FC zone 14 (12.28%),CU zone 14 (12.28%),FC zone 6 (8.77%),FF zone 14 (8.77%),FF zone 9 (7.02%)
"Yamamoto, Yoshinobu",R,1-1,SI zone 13 (13.95%),CU zone 14 (11.63%),FS zone 14 (11.63%),FS zone 13 (6.98%),FC zone 14 (6.98%)
"Yamamoto, Yoshinobu",R,1-2,FS zone 13 (14.29%),FS zone 14 (10.2%),SL zone 14 (6.12%),CU zone 14 (6.12%),FF zone 11 (6.12%)
"Yamamoto, Yoshinobu",R,2-0,FF zone 14 (14.81%),FF zone 6 (11.11%),FF zone 5 (7.41%),FC zone 9 (7.41%),SI zone 7 (3.7%)
"Yamamoto, Yoshinobu",R,2-1,SI zone 13 (17.65%),FC zone 14 (11.76%),CU zone 14 (8.82%),CU zone 8 (8.82%),CU zone 7 (5.88%)
"Yamamoto, Yoshinobu",R,2-2,FS zone 13 (20.45%),CU zone 14 (9.09%),FF zone 5 (9.09%),SL zone 14 (6.82%),SI zone 13 (6.82%)
"Yamamoto, Yoshinobu",R,3-0,FF zone 5 (22.22%),FF zone 14 (22.22%),FF zone 1 (11.11%),FF zone 2 (11.11%),FF zone 9 (11.11%)
"Yamamoto, Yoshinobu",R,3-1,FC zone 8 (18.75%),FC zone 14 (12.5%),CU zone 14 (6.25%),FC zone 5 (6.25%),FF zone 2 (6.25%)
"Yamamoto, Yoshinobu",R,3-2,SI zone 13 (14.29%),FS zone 13 (11.43%),CU zone 14 (8.57%),CU zone 9 (5.71%),FF zone 2 (5.71%)
